,0
DG,0.19393528289858977
BBY,0.02189401029500608
MAS,0.008985820156906684
GWRE,0.3299181583500168
PSTG,0.4533713726745913
LNT,0.024905814287375865
TW,0.023339286208039704
CSL,0.09973120189939688
USFD,0.054445349758070874
J,0.08491855944327399
RPM,0.014963555378200434
ZBRA,0.38562734070680593
BLDR,0.09247283172893728
APTV,0.1312028973858267
L,0.09756569937502682
GEN,0.082452607205275
EVRG,0.026110773219198816
UDR,0.11424499877526167
AVY,0.178971350402707
ROL,0.01264132215345836
AMCR,0.3377907278316468
DOC,0.11065751602306864
SFM,0.026420130559523722
IEX,0.023539821938486104
GGG,0.03900557765114905
BAH,0.11657198327849286
FSLR,0.5022344952701168
REG,0.01968875854449349
CF,0.18147437235494565
TXT,0.007739469071971089
ITCI,15.648170351007785
ILMN,8.092274030481363
GLPI,0.01781570729457643
ELS,0.011349961242711981
RPRX,0.6941251026799871
BJ,0.055630902925803555
JLL,0.141304327709452
SWK,0.25513495691649174
TXRH,0.15869975714027781
POOL,0.1259355420705325
EWBC,0.013776140831920266
RNR,0.45548720262099185
FIX,0.11620378661657853
DKS,0.010717082090131492
PFGC,0.23981976081084191
NLY,0.03315614084066382
AMH,0.04094131168250775
CW,0.03989669200826701
Z,0.3649176332194574
THC,0.0965591027247753
CAG,0.5955187232127581
FTI,0.14245832949558923
MRNA,0.12162435661860767
SCI,0.0062379695299318435
PAYC,0.04604263004575937
TOL,0.06266523201011243
HST,0.21531569607781642
CHRW,0.1488518339895399
EPAM,0.04369431532861404
WWD,0.1357365316413373
LKQ,0.057509302667195686
LECO,0.11074554285716826
LAMR,0.1409608795050828
CIEN,0.0023195070035360987
MANH,0.13111178482690125
ROKU,2.6186852777785044
BXP,0.05716122080586339
AIZ,0.00488829036016098
SAIA,0.0657542833077876
PNW,0.024514913936693687
RBC,0.01148796275806906
CCK,3.470696638896869
TAP,0.14098176480411545
CLH,0.04878722452185831
IPG,0.04798911937170613
SRPT,8.696871884558584
SNX,0.009387716052468721
CG,0.14339141707566722
SF,0.15975929095252225
BWXT,0.03938604519881127
ALLY,0.032273238378864054
ESTC,0.27074028453182286
WYNN,0.14805458712609376
CRS,0.401490548862694
KNSL,0.2555108854964611
LBRDK,1.0366163797237729
ARMK,0.1589923420992978
CUBE,0.1058898184577987
WBS,0.39477186768354366
MLI,0.023213763574252685
